document	term	tfidf
elencoburl_84776581_policy_13870	boccalari	0.020558
elencoburl_84776581_policy_13870	capofila	0.020558
elencoburl_84776581_policy_13870	capofilire	0.020558
elencoburl_84776581_policy_13870	colonna	0.015037
elencoburl_84776581_policy_13870	comprensivo	0.012146
elencoburl_84776581_policy_13870	comunitaria	0.019112
elencoburl_84776581_policy_13870	concedere	0.011841
elencoburl_84776581_policy_13870	confermare	0.010546
elencoburl_84776581_policy_13870	contenere	0.011554
elencoburl_84776581_policy_13870	contenuto	0.010546
elencoburl_84776581_policy_13870	conversione	0.014029
elencoburl_84776581_policy_13870	correggere	0.017075
elencoburl_84776581_policy_13870	correttezza	0.019112
elencoburl_84776581_policy_13870	corretto	0.014029
elencoburl_84776581_policy_13870	corrispondenza	0.017991
elencoburl_84776581_policy_13870	decorrenza	0.014508
elencoburl_84776581_policy_13870	dedicare	0.012146
elencoburl_84776581_policy_13870	delle	0.009517
elencoburl_84776581_policy_13870	diagnostic	0.022596
elencoburl_84776581_policy_13870	domande	0.014029
elencoburl_84776581_policy_13870	effettivo	0.01247
elencoburl_84776581_policy_13870	effetto	0.011841
elencoburl_84776581_policy_13870	elemento	0.011841
elencoburl_84776581_policy_13870	elenchi	0.020558
elencoburl_84776581_policy_13870	ermanno	0.020558
elencoburl_84776581_policy_13870	errore	0.017075
elencoburl_84776581_policy_13870	espressamente	0.015037
elencoburl_84776581_policy_13870	euro	0.009517
elencoburl_84776581_policy_13870	fare	0.009517
elencoburl_84776581_policy_13870	fase	0.010322
elencoburl_84776581_policy_13870	fesr	0.013189
elencoburl_84776581_policy_13870	file	0.020558
elencoburl_84776581_policy_13870	finlombarda	0.012817
elencoburl_84776581_policy_13870	impresa	0.010546
elencoburl_84776581_policy_13870	industriale	0.015629
elencoburl_84776581_policy_13870	information	0.019112
elencoburl_84776581_policy_13870	infrastruttura	0.013189
elencoburl_84776581_policy_13870	innovation	0.015037
elencoburl_84776581_policy_13870	innovativo	0.014029
elencoburl_84776581_policy_13870	innovazione	0.013592
elencoburl_84776581_policy_13870	integralmente	0.014029
elencoburl_84776581_policy_13870	istituzionale	0.011025
elencoburl_84776581_policy_13870	linea	0.01078
elencoburl_84776581_policy_13870	maggiorazione	0.022596
elencoburl_84776581_policy_13870	martedì	0.01247
elencoburl_84776581_policy_13870	materiale	0.012817
elencoburl_84776581_policy_13870	meglio	0.015037
elencoburl_84776581_policy_13870	mentre	0.017991
elencoburl_84776581_policy_13870	mero	0.017991
elencoburl_84776581_policy_13870	metreta	0.022596
elencoburl_84776581_policy_13870	mobilità	0.017075
elencoburl_84776581_policy_13870	modificare	0.011282
elencoburl_84776581_policy_13870	nazionale	0.010322
elencoburl_84776581_policy_13870	nelle	0.0163
elencoburl_84776581_policy_13870	nomina	0.0163
elencoburl_84776581_policy_13870	occorrere	0.0163
elencoburl_84776581_policy_13870	open	0.015037
elencoburl_84776581_policy_13870	originario	0.0163
elencoburl_84776581_policy_13870	partenariato	0.014029
elencoburl_84776581_policy_13870	partner	0.019112
elencoburl_84776581_policy_13870	parziale	0.013189
elencoburl_84776581_policy_13870	perdere	0.014508
elencoburl_84776581_policy_13870	polibrixia	0.022596
elencoburl_84776581_policy_13870	presentazione	0.009517
elencoburl_84776581_policy_13870	produttivo	0.01247
elencoburl_84776581_policy_13870	progetti	0.015037
elencoburl_84776581_policy_13870	progetto	0.009517
elencoburl_84776581_policy_13870	quello	0.010109
elencoburl_84776581_policy_13870	relativamente	0.013592
elencoburl_84776581_policy_13870	rettificare	0.017075
elencoburl_84776581_policy_13870	rettifico	0.020558
elencoburl_84776581_policy_13870	ricerca	0.010546
elencoburl_84776581_policy_13870	richiamare	0.009903
elencoburl_84776581_policy_13870	riconoscere	0.015037
elencoburl_84776581_policy_13870	rientrare	0.009517
elencoburl_84776581_policy_13870	rimodulazione	0.013592
elencoburl_84776581_policy_13870	rispettivamente	0.012817
elencoburl_84776581_policy_13870	ritenere	0.011025
elencoburl_84776581_policy_13870	salvo	0.014508
elencoburl_84776581_policy_13870	seconda	0.015629
elencoburl_84776581_policy_13870	senza	0.012817
elencoburl_84776581_policy_13870	sezione	0.013592
elencoburl_84776581_policy_13870	solo	0.01078
elencoburl_84776581_policy_13870	somma	0.009903
elencoburl_84776581_policy_13870	specializzazione	0.017075
elencoburl_84776581_policy_13870	specificare	0.011841
elencoburl_84776581_policy_13870	sperimentale	0.014508
elencoburl_84776581_policy_13870	stampare	0.020558
elencoburl_84776581_policy_13870	startup	0.022596
elencoburl_84776581_policy_13870	superiore	0.012146
elencoburl_84776581_policy_13870	technology	0.019112
elencoburl_84776581_policy_13870	tecnologico	0.012146
elencoburl_84776581_policy_13870	trasferimento	0.013592
elencoburl_84776581_policy_13870	trasparente	0.019112
elencoburl_84776581_policy_13870	università	0.013592
elencoburl_84776581_policy_13870	verificare	0.011841
elencoburl_84776581_policy_13870	verificato	0.01078
elencoburl_84776581_policy_13870	viii	0.015629
elencoburl_85174157_policy_X6104	acconto	0.01146
elencoburl_85174157_policy_X6104	aderire	0.01146
elencoburl_85174157_policy_X6104	agente	0.012595
elencoburl_85174157_policy_X6104	agevolata	0.012595
elencoburl_85174157_policy_X6104	agevolato	0.010029
elencoburl_85174157_policy_X6104	articoli	0.012595
elencoburl_85174157_policy_X6104	attuative	0.01146
elencoburl_85174157_policy_X6104	automaticamente	0.010654
elencoburl_85174157_policy_X6104	automobilistico	0.01146
elencoburl_85174157_policy_X6104	bancario	0.010029
elencoburl_85174157_policy_X6104	beneficiare	0.010029
elencoburl_85174157_policy_X6104	beneficio	0.009518
elencoburl_85174157_policy_X6104	bonifico	0.010654
elencoburl_85174157_policy_X6104	call	0.010654
elencoburl_85174157_policy_X6104	cartella	0.010654
elencoburl_85174157_policy_X6104	casello	0.01146
elencoburl_85174157_policy_X6104	causale	0.012595
elencoburl_85174157_policy_X6104	center	0.010029
elencoburl_85174157_policy_X6104	coattivo	0.012595
elencoburl_85174157_policy_X6104	comunico	0.012595
elencoburl_85174157_policy_X6104	contenzioso	0.01146
elencoburl_85174157_policy_X6104	convertito	0.010029
elencoburl_85174157_policy_X6104	corrisposta	0.012595
elencoburl_85174157_policy_X6104	debitore	0.009518
elencoburl_85174157_policy_X6104	debitorio	0.012595
elencoburl_85174157_policy_X6104	dilazionare	0.012595
elencoburl_85174157_policy_X6104	diramato	0.012595
elencoburl_85174157_policy_X6104	domiciliazione	0.012595
elencoburl_85174157_policy_X6104	dovuto	0.010029
elencoburl_85174157_policy_X6104	effettuato	0.010029
elencoburl_85174157_policy_X6104	emettere	0.010029
elencoburl_85174157_policy_X6104	entrate	0.010029
elencoburl_85174157_policy_X6104	equivalere	0.012595
elencoburl_85174157_policy_X6104	esattoriale	0.012595
elencoburl_85174157_policy_X6104	eseguito	0.01146
elencoburl_85174157_policy_X6104	estinguere	0.012595
elencoburl_85174157_policy_X6104	evidenziato	0.01146
elencoburl_85174157_policy_X6104	fidejussione	0.01146
elencoburl_85174157_policy_X6104	fruire	0.01146
elencoburl_85174157_policy_X6104	fruizione	0.009518
elencoburl_85174157_policy_X6104	giancarla	0.012595
elencoburl_85174157_policy_X6104	giudizio	0.010029
elencoburl_85174157_policy_X6104	idoneo	0.010029
elencoburl_85174157_policy_X6104	inevase	0.012595
elencoburl_85174157_policy_X6104	informazioni	0.010029
elencoburl_85174157_policy_X6104	ingiunzione	0.01146
elencoburl_85174157_policy_X6104	inoltrare	0.010029
elencoburl_85174157_policy_X6104	insufficiente	0.010654
elencoburl_85174157_policy_X6104	irregolare	0.012595
elencoburl_85174157_policy_X6104	irregolarità	0.01146
elencoburl_85174157_policy_X6104	laddove	0.010029
elencoburl_85174157_policy_X6104	legittimità	0.010029
elencoburl_85174157_policy_X6104	manifestazione	0.010029
elencoburl_85174157_policy_X6104	modificazioni	0.012595
elencoburl_85174157_policy_X6104	mora	0.009518
elencoburl_85174157_policy_X6104	nella	0.010029
elencoburl_85174157_policy_X6104	neva	0.012595
elencoburl_85174157_policy_X6104	notificare	0.009518
elencoburl_85174157_policy_X6104	notificato	0.012595
elencoburl_85174157_policy_X6104	nuovamente	0.012595
elencoburl_85174157_policy_X6104	ordinanza	0.01146
elencoburl_85174157_policy_X6104	pendente	0.010029
elencoburl_85174157_policy_X6104	precisato	0.009518
elencoburl_85174157_policy_X6104	predetta	0.010029
elencoburl_85174157_policy_X6104	previdenziale	0.01146
elencoburl_85174157_policy_X6104	processuale	0.012595
elencoburl_85174157_policy_X6104	prosecuzione	0.010029
elencoburl_85174157_policy_X6104	quantificandone	0.012595
elencoburl_85174157_policy_X6104	quantificare	0.010654
elencoburl_85174157_policy_X6104	rare	0.010654
elencoburl_85174157_policy_X6104	rata	0.01146
elencoburl_85174157_policy_X6104	rateizzato	0.01146
elencoburl_85174157_policy_X6104	rateizzazione	0.01146
elencoburl_85174157_policy_X6104	rateizzazioni	0.012595
elencoburl_85174157_policy_X6104	rato	0.01146
elencoburl_85174157_policy_X6104	regolarizzare	0.010654
elencoburl_85174157_policy_X6104	regolarizzato	0.012595
elencoburl_85174157_policy_X6104	regolarizzazione	0.01146
elencoburl_85174157_policy_X6104	regolarmente	0.010654
elencoburl_85174157_policy_X6104	ricevuta	0.01146
elencoburl_85174157_policy_X6104	ricevuto	0.009518
elencoburl_85174157_policy_X6104	rimborsi	0.01146
elencoburl_85174157_policy_X6104	rinviare	0.010029
elencoburl_85174157_policy_X6104	riprendere	0.010654
elencoburl_85174157_policy_X6104	sancire	0.010654
elencoburl_85174157_policy_X6104	sanzione	0.010654
elencoburl_85174157_policy_X6104	sbrissa	0.012595
elencoburl_85174157_policy_X6104	sollecito	0.012595
elencoburl_85174157_policy_X6104	spazioregione	0.01146
elencoburl_85174157_policy_X6104	tardivo	0.012595
elencoburl_85174157_policy_X6104	tassa	0.010654
elencoburl_85174157_policy_X6104	tesoreria	0.010029
elencoburl_85174157_policy_X6104	tributario	0.010654
elencoburl_85174157_policy_X6104	tributi	0.01146
elencoburl_85174157_policy_X6104	tributo	0.01146
elencoburl_85174157_policy_X6104	usufruire	0.01146
elencoburl_85174157_policy_X6104	valutato	0.010029
elencoburl_85174157_policy_X6104	verde	0.010029
elencoburl_85174157_policy_X6104	versamento	0.01146
elencoburl_85174157_policy_X6104	versare	0.010029
elencoburl_85174157_policy_X6104	versato	0.01146
elencoburl_85174157_policy_X6104	volontà	0.009518
elencoburl_84776581_policy_13906	allego	0.015722
elencoburl_84776581_policy_13906	anticipare	0.012518
elencoburl_84776581_policy_13906	aprire	0.011881
elencoburl_84776581_policy_13906	assenso	0.013298
elencoburl_84776581_policy_13906	assenza	0.010095
elencoburl_84776581_policy_13906	bottino	0.015722
elencoburl_84776581_policy_13906	brivio	0.014304
elencoburl_84776581_policy_13906	casa	0.010095
elencoburl_84776581_policy_13906	causa	0.010875
elencoburl_84776581_policy_13906	causare	0.013298
elencoburl_84776581_policy_13906	cerro	0.014304
elencoburl_84776581_policy_13906	chiedere	0.009761
elencoburl_84776581_policy_13906	chilometrico	0.015722
elencoburl_84776581_policy_13906	chilometro	0.014304
elencoburl_84776581_policy_13906	cipe	0.014304
elencoburl_84776581_policy_13906	classificazione	0.011881
elencoburl_84776581_policy_13906	collegare	0.010875
elencoburl_84776581_policy_13906	colturano	0.013298
elencoburl_84776581_policy_13906	concessionario	0.012518
elencoburl_84776581_policy_13906	condotta	0.013298
elencoburl_84776581_policy_13906	configurare	0.013298
elencoburl_84776581_policy_13906	connessione	0.013298
elencoburl_84776581_policy_13906	consegna	0.013298
elencoburl_84776581_policy_13906	consegnare	0.012518
elencoburl_84776581_policy_13906	contraente	0.014304
elencoburl_84776581_policy_13906	contrariamente	0.015722
elencoburl_84776581_policy_13906	corrispondenza	0.012518
elencoburl_84776581_policy_13906	corrispondere	0.010875
elencoburl_84776581_policy_13906	costruzione	0.011881
elencoburl_84776581_policy_13906	declassificazione	0.015722
elencoburl_84776581_policy_13906	definitivo	0.010463
elencoburl_84776581_policy_13906	documentale	0.011881
elencoburl_84776581_policy_13906	entrare	0.012518
elencoburl_84776581_policy_13906	escludere	0.010463
elencoburl_84776581_policy_13906	escluso	0.011342
elencoburl_84776581_policy_13906	esecutivo	0.010463
elencoburl_84776581_policy_13906	esistere	0.010095
elencoburl_84776581_policy_13906	esplicito	0.013298
elencoburl_84776581_policy_13906	espressione	0.011881
elencoburl_84776581_policy_13906	esterna	0.015722
elencoburl_84776581_policy_13906	esterno	0.010875
elencoburl_84776581_policy_13906	expo	0.012518
elencoburl_84776581_policy_13906	fiume	0.010875
elencoburl_84776581_policy_13906	formulato	0.015722
elencoburl_84776581_policy_13906	gerarchia	0.015722
elencoburl_84776581_policy_13906	gerarchico	0.015722
elencoburl_84776581_policy_13906	giuliano	0.011342
elencoburl_84776581_policy_13906	housing	0.012518
elencoburl_84776581_policy_13906	impossibilità	0.015722
elencoburl_84776581_policy_13906	ingresso	0.013298
elencoburl_84776581_policy_13906	inizio	0.009761
elencoburl_84776581_policy_13906	innesto	0.015722
elencoburl_84776581_policy_13906	interlocuzione	0.013298
elencoburl_84776581_policy_13906	internazionalizzazione	0.013298
elencoburl_84776581_policy_13906	intersezione	0.015722
elencoburl_84776581_policy_13906	introdotre	0.014304
elencoburl_84776581_policy_13906	invertire	0.015722
elencoburl_84776581_policy_13906	istruttore	0.010463
elencoburl_84776581_policy_13906	itinerario	0.015722
elencoburl_84776581_policy_13906	lambro	0.013298
elencoburl_84776581_policy_13906	landriano	0.015722
elencoburl_84776581_policy_13906	lombarda	0.010875
elencoburl_84776581_policy_13906	mantenimento	0.010875
elencoburl_84776581_policy_13906	melegnano	0.014304
elencoburl_84776581_policy_13906	metropolitana	0.009761
elencoburl_84776581_policy_13906	metropolitano	0.010095
elencoburl_84776581_policy_13906	milanese	0.010463
elencoburl_84776581_policy_13906	misp	0.015722
elencoburl_84776581_policy_13906	missione	0.010463
elencoburl_84776581_policy_13906	monica	0.011881
elencoburl_84776581_policy_13906	nord	0.010095
elencoburl_84776581_policy_13906	ordinanzare	0.015722
elencoburl_84776581_policy_13906	ovest	0.010463
elencoburl_84776581_policy_13906	potenziamento	0.011342
elencoburl_84776581_policy_13906	precisare	0.010875
elencoburl_84776581_policy_13906	predabissi	0.013298
elencoburl_84776581_policy_13906	progettazione	0.010463
elencoburl_84776581_policy_13906	progressiva	0.013298
elencoburl_84776581_policy_13906	redazione	0.011342
elencoburl_84776581_policy_13906	restauro	0.014304
elencoburl_84776581_policy_13906	riguardo	0.010875
elencoburl_84776581_policy_13906	riqualificazione	0.011881
elencoburl_84776581_policy_13906	riscontro	0.013298
elencoburl_84776581_policy_13906	ristrutturazione	0.012518
elencoburl_84776581_policy_13906	rocca	0.011881
elencoburl_84776581_policy_13906	rotatoria	0.015722
elencoburl_84776581_policy_13906	scarl	0.015722
elencoburl_84776581_policy_13906	soddisfacere	0.015722
elencoburl_84776581_policy_13906	statico	0.014304
elencoburl_84776581_policy_13906	storico	0.011342
elencoburl_84776581_policy_13906	strada	0.010095
elencoburl_84776581_policy_13906	stradale	0.014304
elencoburl_84776581_policy_13906	strutturale	0.010463
elencoburl_84776581_policy_13906	subordinare	0.011342
elencoburl_84776581_policy_13906	tangenziale	0.014304
elencoburl_84776581_policy_13906	teem	0.014304
elencoburl_84776581_policy_13906	territorialmente	0.011342
elencoburl_84776581_policy_13906	traffico	0.014304
elencoburl_84776581_policy_13906	tratto	0.014304
elencoburl_84776581_policy_13906	variante	0.010463
elencoburl_84776581_policy_13906	variare	0.011342
elencoburl_84776581_policy_13906	veicolare	0.014304
elencoburl_84776581_policy_13906	viabilistico	0.015722
elencoburl_84776581_policy_13906	viabilità	0.012518
elencoburl_84776581_policy_13906	viste	0.010875
elencoburl_84776581_policy_13906	vizzolo	0.013298
elencoburl_84851845_policy_X1396	ambrosoli	0.034857
elencoburl_84851845_policy_X1396	anelli	0.034857
elencoburl_84851845_policy_X1396	angelo	0.02238
elencoburl_84851845_policy_X1396	assemblea	0.02634
elencoburl_84851845_policy_X1396	astenuti	0.034857
elencoburl_84851845_policy_X1396	baldini	0.034857
elencoburl_84851845_policy_X1396	base	0.012669
elencoburl_84851845_policy_X1396	berlusconi	0.034857
elencoburl_84851845_policy_X1396	bruni	0.027754
elencoburl_84851845_policy_X1396	capelli	0.029483
elencoburl_84851845_policy_X1396	carra	0.034857
elencoburl_84851845_policy_X1396	casalino	0.02634
elencoburl_84851845_policy_X1396	cattaneo	0.023197
elencoburl_84851845_policy_X1396	centrodestra	0.034857
elencoburl_84851845_policy_X1396	chiara	0.02411
elencoburl_84851845_policy_X1396	ciascuno	0.015924
elencoburl_84851845_policy_X1396	civico	0.027754
elencoburl_84851845_policy_X1396	claudio	0.023197
elencoburl_84851845_policy_X1396	componente	0.020967
elencoburl_84851845_policy_X1396	comporre	0.019772
elencoburl_84851845_policy_X1396	considerare	0.011634
elencoburl_84851845_policy_X1396	consigliere	0.025145
elencoburl_84851845_policy_X1396	consiglio	0.012669
elencoburl_84851845_policy_X1396	consiliare	0.025145
elencoburl_84851845_policy_X1396	consiliaro	0.031714
elencoburl_84851845_policy_X1396	contrario	0.031714
elencoburl_84851845_policy_X1396	corbetta	0.027754
elencoburl_84851845_policy_X1396	costituzione	0.019237
elencoburl_84851845_policy_X1396	cremonesi	0.029483
elencoburl_84851845_policy_X1396	daniela	0.02411
elencoburl_84851845_policy_X1396	dare	0.011073
elencoburl_84851845_policy_X1396	delibera	0.015594
elencoburl_84851845_policy_X1396	deliberazione	0.012669
elencoburl_84851845_policy_X1396	della	0.009751
elencoburl_84851845_policy_X1396	democratico	0.034857
elencoburl_84851845_policy_X1396	designazione	0.031714
elencoburl_84851845_policy_X1396	detto	0.021642
elencoburl_84851845_policy_X1396	dotti	0.029483
elencoburl_84851845_policy_X1396	ecologia	0.029483
elencoburl_84851845_policy_X1396	eleggere	0.034857
elencoburl_84851845_policy_X1396	elezione	0.027754
elencoburl_84851845_policy_X1396	elisabetta	0.02634
elencoburl_84851845_policy_X1396	eugenio	0.023197
elencoburl_84851845_policy_X1396	fatuzzo	0.034857
elencoburl_84851845_policy_X1396	favorevole	0.018737
elencoburl_84851845_policy_X1396	febbraio	0.01361
elencoburl_84851845_policy_X1396	formulare	0.029483
elencoburl_84851845_policy_X1396	forza	0.025145
elencoburl_84851845_policy_X1396	fossati	0.027754
elencoburl_84851845_policy_X1396	francesco	0.020967
elencoburl_84851845_policy_X1396	fratelli	0.02634
elencoburl_84851845_policy_X1396	fuxia	0.034857
elencoburl_84851845_policy_X1396	generale	0.0096
elencoburl_84851845_policy_X1396	gianmarco	0.031714
elencoburl_84851845_policy_X1396	giugno	0.012451
elencoburl_84851845_policy_X1396	giunta	0.011256
elencoburl_84851845_policy_X1396	gruppo	0.02411
elencoburl_84851845_policy_X1396	integrare	0.015924
elencoburl_84851845_policy_X1396	italia	0.018267
elencoburl_84851845_policy_X1396	lega	0.029483
elencoburl_84851845_policy_X1396	libertà	0.02411
elencoburl_84851845_policy_X1396	lino	0.029483
elencoburl_84851845_policy_X1396	lombarda	0.02411
elencoburl_84851845_policy_X1396	marco	0.020347
elencoburl_84851845_policy_X1396	maria	0.015277
elencoburl_84851845_policy_X1396	mario	0.019772
elencoburl_84851845_policy_X1396	maroni	0.02411
elencoburl_84851845_policy_X1396	marzo	0.011073
elencoburl_84851845_policy_X1396	misto	0.029483
elencoburl_84851845_policy_X1396	movimento	0.034857
elencoburl_84851845_policy_X1396	nazionale	0.015924
elencoburl_84851845_policy_X1396	necessità	0.015924
elencoburl_84851845_policy_X1396	nominare	0.020347
elencoburl_84851845_policy_X1396	nord	0.02238
elencoburl_84851845_policy_X1396	norma	0.014681
elencoburl_84851845_policy_X1396	ottobre	0.010721
elencoburl_84851845_policy_X1396	padania	0.034857
elencoburl_84851845_policy_X1396	partecipare	0.02238
elencoburl_84851845_policy_X1396	partito	0.034857
elencoburl_84851845_policy_X1396	patto	0.02634
elencoburl_84851845_policy_X1396	pedrazzini	0.034857
elencoburl_84851845_policy_X1396	pensionati	0.034857
elencoburl_84851845_policy_X1396	people	0.034857
elencoburl_84851845_policy_X1396	pertanto	0.012032
elencoburl_84851845_policy_X1396	popolare	0.027754
elencoburl_84851845_policy_X1396	popolo	0.034857
elencoburl_84851845_policy_X1396	presa	0.020967
elencoburl_84851845_policy_X1396	presidente	0.015277
elencoburl_84851845_policy_X1396	presidenza	0.019772
elencoburl_84851845_policy_X1396	previa	0.02634
elencoburl_84851845_policy_X1396	proprio	0.012238
elencoburl_84851845_policy_X1396	quaglini	0.02634
elencoburl_84851845_policy_X1396	quale	0.009751
elencoburl_84851845_policy_X1396	raffaele	0.023197
elencoburl_84851845_policy_X1396	rappresentante	0.023197
elencoburl_84851845_policy_X1396	rappresentanza	0.027754
elencoburl_84851845_policy_X1396	ravvisata	0.027754
elencoburl_84851845_policy_X1396	regolamento	0.012032
elencoburl_84851845_policy_X1396	regolare	0.020967
elencoburl_84851845_policy_X1396	richiamare	0.015277
elencoburl_84851845_policy_X1396	risultare	0.014399
elencoburl_84851845_policy_X1396	risultato	0.016268
elencoburl_84851845_policy_X1396	roberto	0.019237
elencoburl_84851845_policy_X1396	scrutinio	0.031714
elencoburl_84851845_policy_X1396	segretario	0.011443
elencoburl_84851845_policy_X1396	segreto	0.031714
elencoburl_84851845_policy_X1396	seguente	0.012238
elencoburl_84851845_policy_X1396	sinistra	0.031714
elencoburl_84851845_policy_X1396	solo	0.016629
elencoburl_84851845_policy_X1396	stelle	0.034857
elencoburl_84851845_policy_X1396	teresa	0.029483
elencoburl_84851845_policy_X1396	terzo	0.020347
elencoburl_84851845_policy_X1396	ufficio	0.016629
elencoburl_84851845_policy_X1396	variazione	0.016268
elencoburl_84851845_policy_X1396	verifica	0.014681
elencoburl_84851845_policy_X1396	votante	0.031714
elencoburl_84851845_policy_X1396	votazione	0.02634
elencoburl_84851845_policy_X1396	voti	0.034857
elencoburl_84851845_policy_X1396	voto	0.016268
elencoburl_84776581_policy_13734	accertare	0.011509
elencoburl_84776581_policy_13734	accumule	0.017294
elencoburl_84776581_policy_13734	acqua	0.010403
elencoburl_84776581_policy_13734	affidamento	0.011962
elencoburl_84776581_policy_13734	alvee	0.017294
elencoburl_84776581_policy_13734	alveo	0.015735
elencoburl_84776581_policy_13734	appaltatore	0.015735
elencoburl_84776581_policy_13734	argilloso	0.017294
elencoburl_84776581_policy_13734	asta	0.011962
elencoburl_84776581_policy_13734	atmosferico	0.015735
elencoburl_84776581_policy_13734	attendere	0.012476
elencoburl_84776581_policy_13734	attingere	0.017294
elencoburl_84776581_policy_13734	attuale	0.011962
elencoburl_84776581_policy_13734	attuatore	0.012476
elencoburl_84776581_policy_13734	bacini	0.017294
elencoburl_84776581_policy_13734	bene	0.010403
elencoburl_84776581_policy_13734	bergamo	0.009545
elencoburl_84776581_policy_13734	bonifica	0.01377
elencoburl_84776581_policy_13734	brescia	0.00981
elencoburl_84776581_policy_13734	calo	0.017294
elencoburl_84776581_policy_13734	canone	0.012476
elencoburl_84776581_policy_13734	canoni	0.015735
elencoburl_84776581_policy_13734	categorie	0.015735
elencoburl_84776581_policy_13734	ciottolame	0.017294
elencoburl_84776581_policy_13734	citta	0.014628
elencoburl_84776581_policy_13734	classificazione	0.013069
elencoburl_84776581_policy_13734	como	0.00981
elencoburl_84776581_policy_13734	compensazione	0.014628
elencoburl_84776581_policy_13734	congruo	0.015735
elencoburl_84776581_policy_13734	conseguenza	0.011104
elencoburl_84776581_policy_13734	consorzio	0.00981
elencoburl_84776581_policy_13734	convenzione	0.00981
elencoburl_84776581_policy_13734	corresponsione	0.017294
elencoburl_84776581_policy_13734	costituente	0.015735
elencoburl_84776581_policy_13734	cremona	0.00981
elencoburl_84776581_policy_13734	declinazione	0.014628
elencoburl_84776581_policy_13734	deflusso	0.01377
elencoburl_84776581_policy_13734	demaniale	0.015735
elencoburl_84776581_policy_13734	demanio	0.015735
elencoburl_84776581_policy_13734	determinare	0.009545
elencoburl_84776581_policy_13734	difesa	0.013069
elencoburl_84776581_policy_13734	direttore	0.010403
elencoburl_84776581_policy_13734	escavazione	0.017294
elencoburl_84776581_policy_13734	esondazione	0.015735
elencoburl_84776581_policy_13734	estratto	0.013069
